county_fips,county_name,state_abbr,region,urban_rural_group,measure_id,measure_label,estimate_pct,low_ci,high_ci,release_year
01117,Shelby,AL,South,Small town,obesity_pct,Obesity among adults,30.1,27.9,32.3,2025
01119,Sumter,AL,South,Rural,obesity_pct,Obesity among adults,36.0,33.3,38.7,2025
01121,Talladega,AL,South,Small town,obesity_pct,Obesity among adults,28.1,26.6,29.6,2025
01129,Washington,AL,South,Suburban,obesity_pct,Obesity among adults,28.3,26.6,30.0,2025
01131,Wilcox,AL,South,Rural,obesity_pct,Obesity among adults,33.4,31.2,35.6,2025
01013,Butler,AL,South,Small town,obesity_pct,Obesity among adults,32.9,30.0,35.8,2025
01015,Calhoun,AL,South,Urban core,obesity_pct,Obesity among adults,26.2,24.1,28.3,2025
01017,Chambers,AL,South,Rural,obesity_pct,Obesity among adults,28.6,27.7,29.5,2025
01019,Cherokee,AL,South,Suburban,obesity_pct,Obesity among adults,38.5,36.6,40.4,2025
01021,Chilton,AL,South,Rural,obesity_pct,Obesity among adults,33.7,31.6,35.8,2025
01123,Tallapoosa,AL,South,Suburban,obesity_pct,Obesity among adults,27.8,26.4,29.2,2025
01125,Tuscaloosa,AL,South,Small town,obesity_pct,Obesity among adults,32.1,30.6,33.6,2025
01127,Walker,AL,South,Suburban,obesity_pct,Obesity among adults,27.4,25.5,29.3,2025
01133,Winston,AL,South,Urban core,obesity_pct,Obesity among adults,33.8,31.1,36.5,2025
01101,Montgomery,AL,South,Rural,obesity_pct,Obesity among adults,35.9,33.1,38.7,2025
01069,Houston,AL,South,Small town,obesity_pct,Obesity among adults,37.6,34.6,40.6,2025
01081,Lee,AL,South,Rural,obesity_pct,Obesity among adults,27.0,24.3,29.7,2025
01083,Limestone,AL,South,Rural,obesity_pct,Obesity among adults,41.9,39.6,44.2,2025
01093,Marion,AL,South,Small town,obesity_pct,Obesity among adults,28.7,27.2,30.2,2025
01103,Morgan,AL,South,Suburban,obesity_pct,Obesity among adults,36.7,33.9,39.5,2025
01105,Perry,AL,South,Urban core,obesity_pct,Obesity among adults,27.5,24.8,30.2,2025
01111,Randolph,AL,South,Suburban,obesity_pct,Obesity among adults,42.7,41.2,44.2,2025
02013,Aleutians East,AK,West,Urban core,obesity_pct,Obesity among adults,28.5,26.4,30.6,2025
02016,Aleutians West,AK,West,Rural,obesity_pct,Obesity among adults,38.0,35.3,40.7,2025
02020,Anchorage,AK,West,Rural,obesity_pct,Obesity among adults,36.5,34.0,39.0,2025
02050,Bethel,AK,West,Urban core,obesity_pct,Obesity among adults,31.3,28.6,34.0,2025
02060,Bristol Bay,AK,West,Suburban,obesity_pct,Obesity among adults,30.2,28.1,32.3,2025
02068,Denali,AK,West,Urban core,obesity_pct,Obesity among adults,21.9,19.6,24.2,2025
02070,Dillingham,AK,West,Suburban,obesity_pct,Obesity among adults,32.4,29.5,35.3,2025
02090,Fairbanks North Star,AK,West,Urban core,obesity_pct,Obesity among adults,18.1,16.0,20.2,2025
02105,Hoonah-Angoon,AK,West,Small town,obesity_pct,Obesity among adults,33.7,32.4,35.0,2025
02110,Juneau,AK,West,Urban core,obesity_pct,Obesity among adults,16.9,16.1,17.7,2025
02122,Kenai Peninsula,AK,West,Small town,obesity_pct,Obesity among adults,28.1,26.4,29.8,2025
02130,Ketchikan Gateway,AK,West,Urban core,obesity_pct,Obesity among adults,29.4,27.9,30.9,2025
02164,Lake and Peninsula,AK,West,Rural,obesity_pct,Obesity among adults,33.9,31.1,36.7,2025
02170,Matanuska-Susitna,AK,West,Suburban,obesity_pct,Obesity among adults,25.3,24.3,26.3,2025
02180,Nome,AK,West,Suburban,obesity_pct,Obesity among adults,28.9,27.2,30.6,2025
02185,North Slope,AK,West,Urban core,obesity_pct,Obesity among adults,21.0,18.3,23.7,2025
02188,Northwest Arctic,AK,West,Small town,obesity_pct,Obesity among adults,19.4,17.9,20.9,2025
02220,Sitka,AK,West,Small town,obesity_pct,Obesity among adults,29.3,26.6,32.0,2025
02240,Southeast Fairbanks,AK,West,Urban core,obesity_pct,Obesity among adults,40.9,39.4,42.4,2025
02270,Wade Hampton,AK,West,Urban core,obesity_pct,Obesity among adults,35.1,33.3,36.9,2025
02275,Wrangell,AK,West,Urban core,obesity_pct,Obesity among adults,25.1,24.3,25.9,2025
02290,Yukon-Koyukuk,AK,West,Rural,obesity_pct,Obesity among adults,27.2,24.2,30.2,2025
02195,Petersburg,AK,West,Small town,obesity_pct,Obesity among adults,29.0,27.4,30.6,2025
02198,Prince of Wales-Hyder,AK,West,Urban core,obesity_pct,Obesity among adults,20.4,19.3,21.5,2025
02230,Skagway,AK,West,Urban core,obesity_pct,Obesity among adults,27.5,24.6,30.4,2025
02261,Valdez-Cordova,AK,West,Suburban,obesity_pct,Obesity among adults,21.4,19.2,23.6,2025
02282,Yakutat,AK,West,Urban core,obesity_pct,Obesity among adults,26.1,24.7,27.5,2025
02100,Haines,AK,West,Urban core,obesity_pct,Obesity among adults,33.2,30.6,35.8,2025
02150,Kodiak Island,AK,West,Urban core,obesity_pct,Obesity among adults,24.5,22.3,26.7,2025
04001,Apache,AZ,West,Small town,obesity_pct,Obesity among adults,28.5,25.6,31.4,2025
04003,Cochise,AZ,West,Urban core,obesity_pct,Obesity among adults,22.4,20.8,24.0,2025
04005,Coconino,AZ,West,Suburban,obesity_pct,Obesity among adults,28.5,27.4,29.6,2025
04007,Gila,AZ,West,Urban core,obesity_pct,Obesity among adults,17.6,16.4,18.8,2025
04009,Graham,AZ,West,Urban core,obesity_pct,Obesity among adults,23.4,22.5,24.3,2025
04011,Greenlee,AZ,West,Small town,obesity_pct,Obesity among adults,42.4,41.3,43.5,2025
04012,La Paz,AZ,West,Urban core,obesity_pct,Obesity among adults,19.8,17.0,22.6,2025
04013,Maricopa,AZ,West,Small town,obesity_pct,Obesity among adults,25.2,23.1,27.3,2025
04015,Mohave,AZ,West,Rural,obesity_pct,Obesity among adults,35.1,32.2,38.0,2025
04017,Navajo,AZ,West,Small town,obesity_pct,Obesity among adults,19.1,17.4,20.8,2025
04019,Pima,AZ,West,Small town,obesity_pct,Obesity among adults,32.0,29.9,34.1,2025
04021,Pinal,AZ,West,Urban core,obesity_pct,Obesity among adults,23.9,22.9,24.9,2025
04023,Santa Cruz,AZ,West,Urban core,obesity_pct,Obesity among adults,26.0,24.9,27.1,2025
04025,Yavapai,AZ,West,Small town,obesity_pct,Obesity among adults,30.9,28.1,33.7,2025
04027,Yuma,AZ,West,Urban core,obesity_pct,Obesity among adults,26.4,25.0,27.8,2025
05049,Fulton,AR,South,Suburban,obesity_pct,Obesity among adults,29.4,27.7,31.1,2025
05051,Garland,AR,South,Rural,obesity_pct,Obesity among adults,40.2,38.5,41.9,2025
05053,Grant,AR,South,Rural,obesity_pct,Obesity among adults,38.8,35.8,41.8,2025
05055,Greene,AR,South,Rural,obesity_pct,Obesity among adults,28.5,25.8,31.2,2025
05059,Hot Spring,AR,South,Small town,obesity_pct,Obesity among adults,48.6,45.8,51.4,2025
05065,Izard,AR,South,Small town,obesity_pct,Obesity among adults,39.8,37.0,42.6,2025
05071,Johnson,AR,South,Small town,obesity_pct,Obesity among adults,30.1,28.1,32.1,2025
05075,Lawrence,AR,South,Rural,obesity_pct,Obesity among adults,37.7,35.9,39.5,2025
05077,Lee,AR,South,Suburban,obesity_pct,Obesity among adults,31.1,28.3,33.9,2025
05001,Arkansas,AR,South,Small town,obesity_pct,Obesity among adults,29.1,27.5,30.7,2025
05003,Ashley,AR,South,Urban core,obesity_pct,Obesity among adults,19.8,18.3,21.3,2025
05005,Baxter,AR,South,Small town,obesity_pct,Obesity among adults,32.2,29.9,34.5,2025
05007,Benton,AR,South,Rural,obesity_pct,Obesity among adults,37.0,34.0,40.0,2025
05011,Bradley,AR,South,Suburban,obesity_pct,Obesity among adults,27.9,25.6,30.2,2025
05013,Calhoun,AR,South,Rural,obesity_pct,Obesity among adults,32.6,29.8,35.4,2025
05017,Chicot,AR,South,Rural,obesity_pct,Obesity among adults,37.4,34.6,40.2,2025
05019,Clark,AR,South,Rural,obesity_pct,Obesity among adults,41.3,40.1,42.5,2025
05021,Clay,AR,South,Small town,obesity_pct,Obesity among adults,37.5,34.8,40.2,2025
05029,Conway,AR,South,Rural,obesity_pct,Obesity among adults,32.4,30.2,34.6,2025
05037,Cross,AR,South,Rural,obesity_pct,Obesity among adults,34.1,31.3,36.9,2025
05039,Dallas,AR,South,Suburban,obesity_pct,Obesity among adults,34.4,31.6,37.2,2025
05041,Desha,AR,South,Rural,obesity_pct,Obesity among adults,38.1,35.4,40.8,2025
05045,Faulkner,AR,South,Small town,obesity_pct,Obesity among adults,22.9,21.5,24.3,2025
05057,Hempstead,AR,South,Rural,obesity_pct,Obesity among adults,23.6,20.8,26.4,2025
05061,Howard,AR,South,Suburban,obesity_pct,Obesity among adults,31.5,30.2,32.8,2025
05063,Independence,AR,South,Suburban,obesity_pct,Obesity among adults,37.3,35.4,39.2,2025
05067,Jackson,AR,South,Suburban,obesity_pct,Obesity among adults,38.7,35.8,41.6,2025
05069,Jefferson,AR,South,Small town,obesity_pct,Obesity among adults,34.6,33.6,35.6,2025
05073,Lafayette,AR,South,Small town,obesity_pct,Obesity among adults,38.4,35.8,41.0,2025
05081,Little River,AR,South,Suburban,obesity_pct,Obesity among adults,26.0,25.1,26.9,2025
05085,Lonoke,AR,South,Rural,obesity_pct,Obesity among adults,35.7,33.9,37.5,2025
05091,Miller,AR,South,Small town,obesity_pct,Obesity among adults,34.3,33.4,35.2,2025
05093,Mississippi,AR,South,Small town,obesity_pct,Obesity among adults,32.6,30.6,34.6,2025
05095,Monroe,AR,South,Suburban,obesity_pct,Obesity among adults,34.3,32.7,35.9,2025
05097,Montgomery,AR,South,Small town,obesity_pct,Obesity among adults,20.8,18.8,22.8,2025
05099,Nevada,AR,South,Suburban,obesity_pct,Obesity among adults,40.6,37.7,43.5,2025
05103,Ouachita,AR,South,Rural,obesity_pct,Obesity among adults,28.1,25.2,31.0,2025
05107,Phillips,AR,South,Rural,obesity_pct,Obesity among adults,33.6,32.0,35.2,2025
05109,Pike,AR,South,Small town,obesity_pct,Obesity among adults,24.1,22.5,25.7,2025
05117,Prairie,AR,South,Suburban,obesity_pct,Obesity among adults,25.8,23.9,27.7,2025
05121,Randolph,AR,South,Suburban,obesity_pct,Obesity among adults,29.4,26.7,32.1,2025
05131,Sebastian,AR,South,Suburban,obesity_pct,Obesity among adults,31.0,28.1,33.9,2025
05133,Sevier,AR,South,Suburban,obesity_pct,Obesity among adults,31.3,28.5,34.1,2025
05139,Union,AR,South,Suburban,obesity_pct,Obesity among adults,29.8,28.3,31.3,2025
05145,White,AR,South,Suburban,obesity_pct,Obesity among adults,34.0,32.0,36.0,2025
05147,Woodruff,AR,South,Suburban,obesity_pct,Obesity among adults,46.5,44.2,48.8,2025
05009,Boone,AR,South,Rural,obesity_pct,Obesity among adults,25.7,23.4,28.0,2025
05015,Carroll,AR,South,Rural,obesity_pct,Obesity among adults,33.6,32.1,35.1,2025
05023,Cleburne,AR,South,Rural,obesity_pct,Obesity among adults,37.4,35.3,39.5,2025
05025,Cleveland,AR,South,Small town,obesity_pct,Obesity among adults,37.9,36.2,39.6,2025
05027,Columbia,AR,South,Small town,obesity_pct,Obesity among adults,31.6,29.6,33.6,2025
05031,Craighead,AR,South,Urban core,obesity_pct,Obesity among adults,28.8,26.6,31.0,2025
05033,Crawford,AR,South,Urban core,obesity_pct,Obesity among adults,26.6,25.8,27.4,2025
05035,Crittenden,AR,South,Rural,obesity_pct,Obesity among adults,25.7,24.9,26.5,2025
05043,Drew,AR,South,Suburban,obesity_pct,Obesity among adults,34.0,32.4,35.6,2025
05047,Franklin,AR,South,Small town,obesity_pct,Obesity among adults,25.1,23.0,27.2,2025
05143,Washington,AR,South,Small town,obesity_pct,Obesity among adults,21.6,19.0,24.2,2025
05149,Yell,AR,South,Suburban,obesity_pct,Obesity among adults,33.1,30.8,35.4,2025
05079,Lincoln,AR,South,Small town,obesity_pct,Obesity among adults,39.9,37.7,42.1,2025
05083,Logan,AR,South,Rural,obesity_pct,Obesity among adults,30.2,29.3,31.1,2025
05087,Madison,AR,South,Small town,obesity_pct,Obesity among adults,32.8,31.4,34.2,2025
05089,Marion,AR,South,Urban core,obesity_pct,Obesity among adults,33.9,32.4,35.4,2025
05101,Newton,AR,South,Rural,obesity_pct,Obesity among adults,37.1,34.2,40.0,2025
05105,Perry,AR,South,Small town,obesity_pct,Obesity among adults,26.6,24.4,28.8,2025
05111,Poinsett,AR,South,Rural,obesity_pct,Obesity among adults,33.5,31.3,35.7,2025
05113,Polk,AR,South,Small town,obesity_pct,Obesity among adults,40.9,39.9,41.9,2025
05115,Pope,AR,South,Rural,obesity_pct,Obesity among adults,33.8,30.8,36.8,2025
05119,Pulaski,AR,South,Rural,obesity_pct,Obesity among adults,29.2,26.5,31.9,2025
05123,St. Francis,AR,South,Urban core,obesity_pct,Obesity among adults,28.1,25.3,30.9,2025
05125,Saline,AR,South,Urban core,obesity_pct,Obesity among adults,30.9,28.2,33.6,2025
05127,Scott,AR,South,Small town,obesity_pct,Obesity among adults,35.5,32.9,38.1,2025
05129,Searcy,AR,South,Rural,obesity_pct,Obesity among adults,28.8,25.9,31.7,2025
05135,Sharp,AR,South,Small town,obesity_pct,Obesity among adults,25.1,23.0,27.2,2025
05137,Stone,AR,South,Small town,obesity_pct,Obesity among adults,42.1,40.0,44.2,2025
05141,Van Buren,AR,South,Rural,obesity_pct,Obesity among adults,37.7,35.0,40.4,2025
06035,Lassen,CA,West,Rural,obesity_pct,Obesity among adults,31.0,29.3,32.7,2025
06049,Modoc,CA,West,Suburban,obesity_pct,Obesity among adults,34.7,32.6,36.8,2025
06075,San Francisco,CA,West,Urban core,obesity_pct,Obesity among adults,28.9,26.6,31.2,2025
06083,Santa Barbara,CA,West,Suburban,obesity_pct,Obesity among adults,22.1,19.9,24.3,2025
06091,Sierra,CA,West,Rural,obesity_pct,Obesity among adults,33.7,31.0,36.4,2025
06095,Solano,CA,West,Suburban,obesity_pct,Obesity among adults,35.4,32.5,38.3,2025
06101,Sutter,CA,West,Rural,obesity_pct,Obesity among adults,35.1,34.1,36.1,2025
06105,Trinity,CA,West,Rural,obesity_pct,Obesity among adults,39.4,37.2,41.6,2025
06111,Ventura,CA,West,Urban core,obesity_pct,Obesity among adults,25.9,25.0,26.8,2025
06115,Yuba,CA,West,Urban core,obesity_pct,Obesity among adults,19.6,17.5,21.7,2025
06033,Lake,CA,West,Urban core,obesity_pct,Obesity among adults,30.0,27.9,32.1,2025
06071,San Bernardino,CA,West,Suburban,obesity_pct,Obesity among adults,31.6,30.3,32.9,2025
06087,Santa Cruz,CA,West,Urban core,obesity_pct,Obesity among adults,30.7,28.6,32.8,2025
06001,Alameda,CA,West,Urban core,obesity_pct,Obesity among adults,30.2,29.0,31.4,2025
06003,Alpine,CA,West,Rural,obesity_pct,Obesity among adults,19.9,18.5,21.3,2025
06005,Amador,CA,West,Urban core,obesity_pct,Obesity among adults,26.8,25.0,28.6,2025
06007,Butte,CA,West,Urban core,obesity_pct,Obesity among adults,25.7,24.5,26.9,2025
06009,Calaveras,CA,West,Small town,obesity_pct,Obesity among adults,33.3,30.3,36.3,2025
06011,Colusa,CA,West,Rural,obesity_pct,Obesity among adults,29.4,28.1,30.7,2025
06013,Contra Costa,CA,West,Urban core,obesity_pct,Obesity among adults,28.5,26.3,30.7,2025
06015,Del Norte,CA,West,Small town,obesity_pct,Obesity among adults,27.0,25.9,28.1,2025
06017,El Dorado,CA,West,Rural,obesity_pct,Obesity among adults,38.3,36.6,40.0,2025
06019,Fresno,CA,West,Suburban,obesity_pct,Obesity among adults,31.6,29.5,33.7,2025
06021,Glenn,CA,West,Small town,obesity_pct,Obesity among adults,21.1,18.1,24.1,2025
06023,Humboldt,CA,West,Small town,obesity_pct,Obesity among adults,35.3,34.5,36.1,2025
06025,Imperial,CA,West,Small town,obesity_pct,Obesity among adults,24.7,24.0,25.4,2025
06027,Inyo,CA,West,Urban core,obesity_pct,Obesity among adults,25.6,23.4,27.8,2025
06029,Kern,CA,West,Small town,obesity_pct,Obesity among adults,30.9,28.1,33.7,2025
06031,Kings,CA,West,Suburban,obesity_pct,Obesity among adults,28.4,26.4,30.4,2025
06037,Los Angeles,CA,West,Rural,obesity_pct,Obesity among adults,28.4,27.4,29.4,2025
06039,Madera,CA,West,Rural,obesity_pct,Obesity among adults,28.4,25.6,31.2,2025
06041,Marin,CA,West,Rural,obesity_pct,Obesity among adults,31.0,28.9,33.1,2025
06043,Mariposa,CA,West,Rural,obesity_pct,Obesity among adults,35.8,35.0,36.6,2025
06045,Mendocino,CA,West,Urban core,obesity_pct,Obesity among adults,36.5,34.6,38.4,2025
06047,Merced,CA,West,Urban core,obesity_pct,Obesity among adults,26.0,24.0,28.0,2025
06051,Mono,CA,West,Suburban,obesity_pct,Obesity among adults,23.8,22.3,25.3,2025
06053,Monterey,CA,West,Urban core,obesity_pct,Obesity among adults,25.4,22.7,28.1,2025
06055,Napa,CA,West,Urban core,obesity_pct,Obesity among adults,37.7,35.0,40.4,2025
06057,Nevada,CA,West,Urban core,obesity_pct,Obesity among adults,26.4,25.4,27.4,2025
06059,Orange,CA,West,Urban core,obesity_pct,Obesity among adults,20.4,18.3,22.5,2025
06061,Placer,CA,West,Small town,obesity_pct,Obesity among adults,25.8,23.5,28.1,2025
06063,Plumas,CA,West,Urban core,obesity_pct,Obesity among adults,22.3,20.2,24.4,2025
06065,Riverside,CA,West,Rural,obesity_pct,Obesity among adults,35.6,32.7,38.5,2025
06067,Sacramento,CA,West,Rural,obesity_pct,Obesity among adults,36.2,33.2,39.2,2025
06069,San Benito,CA,West,Suburban,obesity_pct,Obesity among adults,30.2,28.0,32.4,2025
06073,San Diego,CA,West,Suburban,obesity_pct,Obesity among adults,29.0,27.9,30.1,2025
06077,San Joaquin,CA,West,Suburban,obesity_pct,Obesity among adults,22.6,20.5,24.7,2025
06079,San Luis Obispo,CA,West,Urban core,obesity_pct,Obesity among adults,32.8,30.0,35.6,2025
06081,San Mateo,CA,West,Urban core,obesity_pct,Obesity among adults,25.7,22.8,28.6,2025
06085,Santa Clara,CA,West,Suburban,obesity_pct,Obesity among adults,19.9,17.1,22.7,2025
06089,Shasta,CA,West,Rural,obesity_pct,Obesity among adults,35.2,33.0,37.4,2025
06093,Siskiyou,CA,West,Urban core,obesity_pct,Obesity among adults,22.5,20.0,25.0,2025
06097,Sonoma,CA,West,Suburban,obesity_pct,Obesity among adults,34.6,33.5,35.7,2025
06099,Stanislaus,CA,West,Rural,obesity_pct,Obesity among adults,27.5,25.4,29.6,2025
06103,Tehama,CA,West,Small town,obesity_pct,Obesity among adults,30.3,27.6,33.0,2025
06107,Tulare,CA,West,Suburban,obesity_pct,Obesity among adults,29.5,28.0,31.0,2025
06109,Tuolumne,CA,West,Rural,obesity_pct,Obesity among adults,22.8,21.2,24.4,2025
06113,Yolo,CA,West,Small town,obesity_pct,Obesity among adults,27.6,25.8,29.4,2025
08053,Hinsdale,CO,West,Small town,obesity_pct,Obesity among adults,29.8,26.9,32.7,2025
08061,Kiowa,CO,West,Small town,obesity_pct,Obesity among adults,33.9,31.1,36.7,2025
08063,Kit Carson,CO,West,Urban core,obesity_pct,Obesity among adults,21.2,18.5,23.9,2025
08071,Las Animas,CO,West,Suburban,obesity_pct,Obesity among adults,27.1,24.9,29.3,2025
08073,Lincoln,CO,West,Urban core,obesity_pct,Obesity among adults,16.7,15.7,17.7,2025
08075,Logan,CO,West,Suburban,obesity_pct,Obesity among adults,32.5,31.3,33.7,2025
08079,Mineral,CO,West,Small town,obesity_pct,Obesity among adults,30.0,27.6,32.4,2025
08085,Montrose,CO,West,Urban core,obesity_pct,Obesity among adults,30.4,28.3,32.5,2025
08087,Morgan,CO,West,Small town,obesity_pct,Obesity among adults,44.2,42.1,46.3,2025
08089,Otero,CO,West,Urban core,obesity_pct,Obesity among adults,37.0,34.1,39.9,2025
08095,Phillips,CO,West,Rural,obesity_pct,Obesity among adults,28.7,25.8,31.6,2025
08099,Prowers,CO,West,Urban core,obesity_pct,Obesity among adults,32.4,29.5,35.3,2025
08101,Pueblo,CO,West,Suburban,obesity_pct,Obesity among adults,34.3,32.2,36.4,2025
08103,Rio Blanco,CO,West,Suburban,obesity_pct,Obesity among adults,35.7,32.9,38.5,2025
08105,Rio Grande,CO,West,Small town,obesity_pct,Obesity among adults,28.6,26.4,30.8,2025
08001,Adams,CO,West,Small town,obesity_pct,Obesity among adults,33.6,30.8,36.4,2025
08003,Alamosa,CO,West,Rural,obesity_pct,Obesity among adults,31.1,28.8,33.4,2025
08005,Arapahoe,CO,West,Suburban,obesity_pct,Obesity among adults,19.7,18.8,20.6,2025
08007,Archuleta,CO,West,Suburban,obesity_pct,Obesity among adults,29.4,26.7,32.1,2025
08009,Baca,CO,West,Small town,obesity_pct,Obesity among adults,34.9,34.0,35.8,2025
08011,Bent,CO,West,Small town,obesity_pct,Obesity among adults,24.5,21.6,27.4,2025
08013,Boulder,CO,West,Small town,obesity_pct,Obesity among adults,31.7,30.7,32.7,2025
08015,Chaffee,CO,West,Urban core,obesity_pct,Obesity among adults,28.2,27.2,29.2,2025
08019,Clear Creek,CO,West,Rural,obesity_pct,Obesity among adults,25.4,23.5,27.3,2025
08023,Costilla,CO,West,Suburban,obesity_pct,Obesity among adults,36.7,34.2,39.2,2025
08027,Custer,CO,West,Suburban,obesity_pct,Obesity among adults,35.1,33.8,36.4,2025
08029,Delta,CO,West,Suburban,obesity_pct,Obesity among adults,27.4,26.4,28.4,2025
08031,Denver,CO,West,Suburban,obesity_pct,Obesity among adults,23.5,20.6,26.4,2025
08035,Douglas,CO,West,Suburban,obesity_pct,Obesity among adults,26.8,24.8,28.8,2025
08037,Eagle,CO,West,Rural,obesity_pct,Obesity among adults,37.5,35.9,39.1,2025
08049,Grand,CO,West,Suburban,obesity_pct,Obesity among adults,26.0,23.0,29.0,2025
08051,Gunnison,CO,West,Suburban,obesity_pct,Obesity among adults,30.8,29.5,32.1,2025
08055,Huerfano,CO,West,Urban core,obesity_pct,Obesity among adults,22.7,21.9,23.5,2025
08057,Jackson,CO,West,Suburban,obesity_pct,Obesity among adults,30.5,27.6,33.4,2025
08059,Jefferson,CO,West,Rural,obesity_pct,Obesity among adults,38.9,37.0,40.8,2025
08065,Lake,CO,West,Rural,obesity_pct,Obesity among adults,21.2,19.5,22.9,2025
08067,La Plata,CO,West,Urban core,obesity_pct,Obesity among adults,26.1,24.0,28.2,2025
08069,Larimer,CO,West,Urban core,obesity_pct,Obesity among adults,27.0,26.0,28.0,2025
08077,Mesa,CO,West,Urban core,obesity_pct,Obesity among adults,22.6,19.8,25.4,2025
08081,Moffat,CO,West,Urban core,obesity_pct,Obesity among adults,23.8,20.8,26.8,2025
08083,Montezuma,CO,West,Urban core,obesity_pct,Obesity among adults,28.3,26.9,29.7,2025
08091,Ouray,CO,West,Suburban,obesity_pct,Obesity among adults,31.7,29.6,33.8,2025
08093,Park,CO,West,Suburban,obesity_pct,Obesity among adults,34.5,32.4,36.6,2025
08097,Pitkin,CO,West,Rural,obesity_pct,Obesity among adults,31.1,29.8,32.4,2025
08107,Routt,CO,West,Rural,obesity_pct,Obesity among adults,24.3,21.4,27.2,2025
08109,Saguache,CO,West,Small town,obesity_pct,Obesity among adults,25.9,23.2,28.6,2025
